Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
6	5	44	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.012673616409301758
6	10	46	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.009275674819946289
6	15	46	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.011314868927001953
6	20	48	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.010716676712036133
6	25	49	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.01018667221069336
6	1	4	[8, 22, 5]	0.0010974407196044922
6	5	4	[8, 22, 5]	0.0018019676208496094
6	10	4	[8, 22, 5]	0.0012433528900146484
6	15	4	[8, 22, 5]	0.001070261001586914
6	20	4	[8, 22, 5]	0.0010242462158203125
6	25	4	[8, 22, 5]	0.002722024917602539
6	1	51	[8, 22, 5, 0, 20, 13, 6, 7, 18, 3, 21, 12, 23, 11, 20, 13, 20, 13, 6, 7, 6, 7, 18, 9, 17]	0.00754094123840332
6	5	51	[8, 22, 5, 0, 20, 11, 23, 12, 21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 11, 20]	0.011626958847045898
6	10	55	[8, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 2, 17, 9, 17, 9, 18]	0.012732267379760742
6	15	10049	[8, 16, 10, 3, 4, 1, 16, 14, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 3, 18, 9, 17, 2]	0.013028860092163086
6	20	57	[8, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 11, 23, 12, 21, 12, 19]	0.013595342636108398
6	25	58	[8, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 2, 17, 9, 18, 11, 23]	0.012802600860595703
6	1	20	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.005186796188354492
6	5	20	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.00618433952331543
6	10	22	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.0066471099853515625
6	15	22	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.0043163299560546875
6	20	22	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.0065877437591552734
6	25	23	[12, 21, 3, 4, 1, 16, 10, 15, 2, 17]	0.004826784133911133
6	1	49	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 3, 10, 15, 2]	0.010989904403686523
6	5	54	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 12, 19, 14, 19, 14, 16]	0.010755538940429688
6	10	10048	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 3, 18, 9, 17, 2]	0.010772228240966797
6	15	50	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 3, 10, 15, 2]	0.009087324142456055
