Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
6	1	11	[13, 20, 0, 5, 3, 4]	0.037441253662109375
6	5	11	[13, 20, 0, 5, 3, 4]	0.037262916564941406
6	10	11	[13, 20, 0, 5, 3, 4]	0.036049604415893555
6	15	11	[13, 20, 0, 5, 3, 4]	0.04049324989318848
6	20	13	[13, 20, 0, 5, 3, 4]	0.03612089157104492
6	25	17	[13, 20, 11, 23, 11, 18, 3, 4]	0.036144256591796875
6	1	6	[9, 18, 7, 6]	0.07416057586669922
6	5	6	[9, 18, 7, 6]	0.06749343872070312
6	10	8	[9, 18, 7, 6]	0.06252145767211914
6	15	8	[9, 18, 7, 6]	0.06247258186340332
6	20	8	[9, 18, 7, 6]	0.06230807304382324
6	25	9	[9, 18, 7, 6]	0.06151008605957031
6	1	8	[17, 2, 15, 12, 21]	0.0364992618560791
6	5	46	[17, 9, 18, 11, 20, 0, 5, 22, 8, 16, 1, 16, 8, 22, 5, 0, 5, 3, 4, 1, 4, 3, 21]	0.03415536880493164
6	10	19	[17, 2, 15, 12, 19, 14, 19, 12, 21]	0.03604292869567871
6	15	9	[17, 2, 15, 12, 21]	0.03851175308227539
6	20	9	[17, 2, 15, 12, 21]	0.03357648849487305
6	25	10010	[17, 9, 18, 9, 18, 3, 21]	0.03346562385559082
6	1	4	[8, 22, 5]	0.020854473114013672
6	5	4	[8, 22, 5]	0.01957106590270996
6	10	4	[8, 22, 5]	0.018012523651123047
6	15	4	[8, 22, 5]	0.018117427825927734
6	20	4	[8, 22, 5]	0.01781153678894043
6	25	4	[8, 22, 5]	0.02459859848022461
6	1	7	[8, 22, 14, 19]	0.05870223045349121
6	5	7	[8, 22, 14, 19]	0.05368161201477051
6	10	7	[8, 16, 14, 19]	0.050696611404418945
6	15	7	[8, 22, 14, 19]	0.04856991767883301
6	20	7	[8, 22, 14, 19]	0.048310041427612305
6	25	7	[8, 22, 14, 19]	0.045337677001953125
6	1	36	[12, 19, 12, 21, 3, 5, 0, 5, 22, 5, 3, 21, 3, 18, 3, 18, 9, 17]	0.0886697769165039
6	5	14	[12, 21, 3, 18, 3, 18, 9, 17]	0.08751225471496582
6	10	51	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.15509939193725586
6	15	7	[12, 15, 2, 17]	0.1541440486907959
6	20	27	[12, 21, 3, 21, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.16440534591674805
6	25	20170	[12, 21, 3, 21, 3, 21, 3, 5, 0, 5, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 21, 3, 5, 3, 21, 3, 21, 3, 21, 12, 15, 2, 17]	0.13287639617919922
6	1	2	[15, 2]	0.033631324768066406
6	5	2	[15, 2]	0.02989935874938965
6	10	2	[15, 2]	0.03486037254333496
6	15	2	[15, 2]	0.03757476806640625
6	20	2	[15, 2]	0.037549495697021484
6	25	2	[15, 2]	0.03690671920776367
6	1	5	[16, 14, 19]	0.056577444076538086
6	5	5	[16, 14, 19]	0.05103182792663574
6	10	5	[16, 14, 19]	0.05493974685668945
6	15	5	[16, 14, 19]	0.051766395568847656
6	20	5	[16, 14, 19]	0.05198860168457031
6	25	5	[16, 14, 19]	0.04682564735412598
6	1	7	[5, 3, 10, 15]	0.04783749580383301
6	5	11	[5, 3, 21, 3, 10, 15]	0.04480290412902832
6	10	11	[5, 3, 10, 16, 10, 15]	0.04546308517456055
6	15	8	[5, 3, 21, 12, 15]	0.04470562934875488
6	20	27	[5, 3, 4, 1, 4, 3, 10, 3, 10, 15]	0.04603767395019531
6	25	34	[5, 0, 20, 13, 6, 7, 6, 13, 20, 13, 20, 11, 23, 12, 15]	0.04496145248413086
6	1	4	[19, 14, 16]	0.03574991226196289
6	5	4	[19, 14, 16]	0.03339028358459473
6	10	4	[19, 14, 16]	0.033052682876586914
6	15	4	[19, 14, 16]	0.0405123233795166
6	20	5	[19, 14, 16]	0.032924652099609375
6	25	5	[19, 14, 16]	0.03170585632324219
6	1	5	[15, 10, 16]	0.025297164916992188
6	5	5	[15, 10, 16]	0.047469377517700195
6	10	5	[15, 10, 16]	0.03765296936035156
6	15	5	[15, 10, 16]	0.03601360321044922
